iter	Passed	Remaining
464	750	863
465	751	861
466	752	858
467	753	856
468	754	853
469	757	853
470	759	852
471	760	850
472	761	847
473	761	845
474	762	843
475	763	840
476	764	838
477	765	835
478	766	833
479	767	831
480	768	828
481	769	826
482	769	824
483	773	824
484	774	822
485	775	820
486	776	818
487	777	815
488	778	813
489	779	811
490	780	808
491	780	806
492	781	804
493	782	801
494	783	799
495	784	797
496	786	795
497	789	795
498	790	793
499	791	791
500	793	790
501	794	788
502	795	785
503	796	783
504	797	781
505	797	779
506	798	776
507	799	774
508	800	772
509	803	772
510	804	770
511	805	767
512	806	765
513	807	763
514	808	761
515	809	759
516	810	757
517	811	755
518	812	752
519	813	750
520	814	748
521	815	746
522	818	746
523	819	744
524	820	742
525	821	739
526	822	737
527	822	735
528	823	733
529	824	731
530	825	729
531	826	726
532	827	724
533	828	722
534	828	720
535	831	719
536	833	718
537	834	716
538	835	714
539	836	712
540	837	710
541	838	708
542	839	706
543	840	704
544	841	702
545	841	700
546	842	698
547	843	695
548	844	693
549	845	692
550	849	691
551	849	689
552	850	687
553	852	686
554	853	684
555	855	683
556	856	681
557	857	679
558	858	677
559	859	675
560	864	676
561	866	675
562	867	673
563	868	671
564	869	669
565	872	669
566	873	667
567	875	665
568	879	666
569	881	664
570	882	663
571	884	661
572	885	660
573	886	658
574	888	656
575	889	654
576	895	656
577	896	654
578	897	652
579	899	651
580	900	649
581	901	647
582	902	645
583	904	643
584	905	642
585	906	640
586	908	639
587	909	637
588	910	635
589	911	633
590	913	631
591	914	630
592	915	628
593	916	626
594	917	624
595	920	623
596	922	622
597	923	621
598	925	619
599	926	617
600	928	616
601	929	614
602	930	612
603	932	611
604	934	610
605	939	610
606	940	608
607	942	607
608	943	605
609	944	603
610	946	602
611	947	600
612	948	598
613	953	599
614	954	597
615	955	595
616	956	593
617	957	592
618	958	590
619	959	588
620	960	586
621	961	584
622	962	582
623	963	580
624	966	579
625	968	578
626	970	577
627	971	575
628	972	573
629	973	571
630	974	569
631	975	567
632	976	565
633	976	564
634	977	562
635	978	560
636	979	558
637	983	558
638	984	556
639	985	554
640	987	552
641	988	551
642	989	549
643	990	547
644	991	545
645	992	543
646	993	542
647	994	540
648	996	538
649	998	537
650	999	535
651	1000	534
652	1001	532
653	1002	530
654	1003	528
655	1004	526
656	1005	525
657	1006	523
658	1007	521
659	1008	519
660	1009	517
